task,fold,model,model_group,noise_sigma,n,accuracy,balanced_accuracy,f1_macro,roc_auc_ovr_macro
COADREAD_molecular_subtype,3,logistic_elasticnet,linear,0.05,45,0.9111111111111111,0.8686868686868688,0.859074259074259,0.9872442372442373
COADREAD_molecular_subtype,3,logistic_elasticnet,linear,0.1,45,0.9111111111111111,0.8686868686868688,0.859074259074259,0.9878269878269879
COADREAD_molecular_subtype,3,logistic_elasticnet,linear,0.2,45,0.8888888888888888,0.8585858585858586,0.8377525252525252,0.9841362341362342
COADREAD_molecular_subtype,3,logistic_elasticnet,linear,0.3,45,0.9111111111111111,0.914141414141414,0.8839285714285715,0.9895104895104896
COADREAD_molecular_subtype,3,logistic_elasticnet,linear,0.5,45,0.9111111111111111,0.8686868686868688,0.859074259074259,0.9932012432012431
COADREAD_molecular_subtype,3,random_forest,tree_ensemble,0.0,45,0.9333333333333333,0.8787878787878789,0.8992160410070857,0.9792799792799793
COADREAD_molecular_subtype,3,random_forest,tree_ensemble,0.05,45,0.9555555555555556,0.888888888888889,0.9295900178253119,0.9764309764309763
COADREAD_molecular_subtype,3,random_forest,tree_ensemble,0.1,45,0.9111111111111111,0.7777777777777778,0.8395382395382396,0.9809634809634811
COADREAD_molecular_subtype,3,random_forest,tree_ensemble,0.2,45,0.8444444444444444,0.6111111111111112,0.6044001660440016,0.9843952343952344
COADREAD_molecular_subtype,3,random_forest,tree_ensemble,0.3,45,0.8444444444444444,0.6111111111111112,0.6044001660440016,0.9786972286972286
COADREAD_molecular_subtype,3,random_forest,tree_ensemble,0.5,45,0.8,0.5,0.5155555555555555,0.9838124838124838
COADREAD_molecular_subtype,3,extra_trees,tree_ensemble,0.0,45,0.9333333333333333,0.8787878787878789,0.8826728826728827,0.9880859880859881
COADREAD_molecular_subtype,3,extra_trees,tree_ensemble,0.05,45,0.9333333333333333,0.8787878787878789,0.8992160410070857,0.9880859880859881
COADREAD_molecular_subtype,3,extra_trees,tree_ensemble,0.1,45,0.9333333333333333,0.8787878787878789,0.8992160410070857,0.9895104895104895
COADREAD_molecular_subtype,3,extra_trees,tree_ensemble,0.2,45,0.9333333333333333,0.8787878787878789,0.8992160410070857,0.9880859880859881
COADREAD_molecular_subtype,3,extra_trees,tree_ensemble,0.3,45,0.9333333333333333,0.8787878787878789,0.8992160410070857,0.9872442372442373
COADREAD_molecular_subtype,3,extra_trees,tree_ensemble,0.5,45,0.8444444444444444,0.6111111111111112,0.6044001660440016,0.9909349909349908
COADREAD_molecular_subtype,3,hist_gradient_boosting,boosting,0.0,45,0.8888888888888888,0.8131313131313131,0.806837606837607,0.9775964775964776
COADREAD_molecular_subtype,3,hist_gradient_boosting,boosting,0.05,45,0.8888888888888888,0.7676767676767676,0.8026143790849675,0.9767547267547267
COADREAD_molecular_subtype,3,hist_gradient_boosting,boosting,0.1,45,0.9111111111111111,0.8232323232323232,0.8436604854515303,0.9630924630924631
