task,model,model_group,noise_sigma,folds,f1_macro_mean,f1_macro_sd,roc_auc_ovr_macro_mean
KIRC_grade_binary,extra_trees,tree_ensemble,0.3,10,0.6306797839144369,0.07902859116870198,0.7244371771545685
KIRC_grade_binary,extra_trees,tree_ensemble,0.5,10,0.5166053119236873,0.052437231935480354,0.7273542882238535
KIRC_grade_binary,hist_gradient_boosting,boosting,0.0,10,0.652881065586887,0.0962564352732211,0.7256924838446578
KIRC_grade_binary,hist_gradient_boosting,boosting,0.05,10,0.6668511735514928,0.07775157579302473,0.7220525649873476
KIRC_grade_binary,hist_gradient_boosting,boosting,0.1,10,0.6484938370403805,0.07011119850112273,0.7132518246648681
KIRC_grade_binary,hist_gradient_boosting,boosting,0.2,10,0.6522985189821047,0.08393155147798677,0.7126338436121045
KIRC_grade_binary,hist_gradient_boosting,boosting,0.3,10,0.5987441110869505,0.0649771790259148,0.6820848233891712
KIRC_grade_binary,hist_gradient_boosting,boosting,0.5,10,0.6460543925659837,0.11387818292649476,0.725949714536671
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,0.0,10,0.6452828289540089,0.06624972135685055,0.703910481627873
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,0.05,10,0.6492566053563735,0.07056172106506942,0.7007617583704541
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,0.1,10,0.6481182676188116,0.06585468252751994,0.7068892862371123
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,0.2,10,0.6472433164189606,0.07362529800219586,0.7085299161386118
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,0.3,10,0.6502622108602146,0.08143833769863862,0.7027448397013615
KIRC_grade_binary,liquid_cfc_modality_sequence,liquid_nn,0.5,10,0.6615126266260365,0.08107438387362366,0.7140603760168978
KIRC_grade_binary,logistic_elasticnet,linear,0.0,10,0.6392356828109781,0.06720569260650582,0.6892109500805152
KIRC_grade_binary,logistic_elasticnet,linear,0.05,10,0.6415367351931802,0.06491285358473445,0.6912711483363657
KIRC_grade_binary,logistic_elasticnet,linear,0.1,10,0.6417401219730726,0.075315133868792,0.6907062341844951
KIRC_grade_binary,logistic_elasticnet,linear,0.2,10,0.626833042877758,0.07694710311644824,0.6937122257774432
KIRC_grade_binary,logistic_elasticnet,linear,0.3,10,0.6251263549904127,0.06061451224861188,0.68050876257398
KIRC_grade_binary,logistic_elasticnet,linear,0.5,10,0.6414142088245989,0.05986341936845729,0.6880656983917854
KIRC_grade_binary,mlp_early_fusion,static_nn,0.0,10,0.6382349970193186,0.05065239191254924,0.723888732040906
KIRC_grade_binary,mlp_early_fusion,static_nn,0.05,10,0.6400349523169495,0.05849275923967751,0.7232323232323232
KIRC_grade_binary,mlp_early_fusion,static_nn,0.1,10,0.6381125652820481,0.05219994787417214,0.7237611623481188
KIRC_grade_binary,mlp_early_fusion,static_nn,0.2,10,0.6364730640503271,0.054664575115525506,0.7238006357571576
KIRC_grade_binary,mlp_early_fusion,static_nn,0.3,10,0.6282096756205574,0.05360563937730394,0.7303320471798733
KIRC_grade_binary,mlp_early_fusion,static_nn,0.5,10,0.6316082130720201,0.06088998901096519,0.7208568605307736
KIRC_grade_binary,random_forest,tree_ensemble,0.0,10,0.6783909214260851,0.04247613667992048,0.7335380199510635
KIRC_grade_binary,random_forest,tree_ensemble,0.05,10,0.6695783860098213,0.0808776758532685,0.7320163331032896
KIRC_grade_binary,random_forest,tree_ensemble,0.1,10,0.6424562647115655,0.08974727156799882,0.7325498776585733
KIRC_grade_binary,random_forest,tree_ensemble,0.2,10,0.5823072709742277,0.054693233923683554,0.7216136520484346
KIRC_grade_binary,random_forest,tree_ensemble,0.3,10,0.5232871633103429,0.05482705305249521,0.7174948240165631
KIRC_grade_binary,random_forest,tree_ensemble,0.5,10,0.4213625410257656,0.05909024607048783,0.711384026601418
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,10,0.6500511752583051,0.04406725628283642,0.711284950958864
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,10,0.6436725809022135,0.044541186356585834,0.7084718823849259
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,10,0.6373641599438115,0.05675166871610173,0.7112263943785683
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,10,0.6559190690805913,0.04414419018936858,0.7233528347658782
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,10,0.6572689130769303,0.056197294090616245,0.7043271744358701
KIRC_grade_binary,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,10,0.6333546511783497,0.050900077723687154,0.6870603028211724
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,0.0,10,0.6782109905197392,0.08616864770083735,0.7712085769980507
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,0.05,10,0.6658942419144394,0.08972302242499029,0.7692495126705653
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,0.1,10,0.6547904433792511,0.10678334625408223,0.7699220272904483
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,0.2,10,0.5607338989605589,0.058903332729679,0.7689961013645223
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,0.3,10,0.4303885107544697,0.049392553611509564,0.7651169590643275
PRAD_pathologic_T_stage,extra_trees,tree_ensemble,0.5,10,0.381207400194742,0.0023517326754607924,0.7650682261208577
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,0.0,10,0.6818051704343653,0.03856604380816923,0.7493177387914229
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,0.05,10,0.6427408391688519,0.053857233403849084,0.7164912280701754
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,0.1,10,0.6094900808806127,0.07108819048250097,0.7244931773879142
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,0.2,10,0.5791790750413129,0.08203424469783725,0.7231286549707603
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,0.3,10,0.5321015970014304,0.0686519794506087,0.6963157894736842
PRAD_pathologic_T_stage,hist_gradient_boosting,boosting,0.5,10,0.48376289965152386,0.06881652868117792,0.6655555555555555
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,0.0,10,0.6742293020059387,0.06015034713808071,0.7488499025341131
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,0.05,10,0.6722450897196092,0.06606346095850964,0.7449317738791423
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,0.1,10,0.6720440238751417,0.06776498647535749,0.7460331384015595
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,0.2,10,0.6781143576746079,0.05942793563511015,0.744990253411306
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,0.3,10,0.668852223514519,0.06273323640299684,0.7530896686159844
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,liquid_nn,0.5,10,0.656353859426962,0.06977388523285434,0.7247660818713451
PRAD_pathologic_T_stage,logistic_elasticnet,linear,0.0,10,0.6307993040978872,0.0740419621899265,0.7092105263157895
PRAD_pathologic_T_stage,logistic_elasticnet,linear,0.05,10,0.642772787645472,0.06944127835840865,0.706364522417154
PRAD_pathologic_T_stage,logistic_elasticnet,linear,0.1,10,0.6283863815573221,0.06988975761088449,0.7107504873294347
PRAD_pathologic_T_stage,logistic_elasticnet,linear,0.2,10,0.6157443174477908,0.04461733979262972,0.7028654970760234
PRAD_pathologic_T_stage,logistic_elasticnet,linear,0.3,10,0.6427987197170293,0.06357871653897725,0.7088986354775828
PRAD_pathologic_T_stage,logistic_elasticnet,linear,0.5,10,0.6476136343339397,0.06363691169979678,0.7124074074074074
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,0.0,10,0.6662185286336493,0.0929291124944856,0.7459356725146199
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,0.05,10,0.6680734429729527,0.09343125464711848,0.7475828460038987
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,0.1,10,0.6704679719536824,0.09103680837406336,0.7455847953216374
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,0.2,10,0.6522253318980729,0.09153455098088183,0.741578947368421
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,0.3,10,0.6751875195000712,0.08539852024650031,0.7497660818713451
PRAD_pathologic_T_stage,mlp_early_fusion,static_nn,0.5,10,0.6871801454099412,0.07186087713813467,0.7557504873294347
PRAD_pathologic_T_stage,random_forest,tree_ensemble,0.0,10,0.683906720277633,0.08729665079465689,0.7733820662768032
PRAD_pathologic_T_stage,random_forest,tree_ensemble,0.05,10,0.6017390176895729,0.06461678373747384,0.7626218323586744
PRAD_pathologic_T_stage,random_forest,tree_ensemble,0.1,10,0.4900650136176452,0.06806598736719321,0.7791423001949318
PRAD_pathologic_T_stage,random_forest,tree_ensemble,0.2,10,0.381207400194742,0.0023517326754607924,0.7667738791423002
PRAD_pathologic_T_stage,random_forest,tree_ensemble,0.3,10,0.381207400194742,0.0023517326754607924,0.7503703703703704
PRAD_pathologic_T_stage,random_forest,tree_ensemble,0.5,10,0.381207400194742,0.0023517326754607924,0.7334405458089669
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,0.0,10,0.6722281186214205,0.07136870379553008,0.7535380116959065
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,0.05,10,0.666697457349274,0.06912187895835246,0.750019493177388
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,0.1,10,0.6666203273530844,0.0555804225412483,0.7464035087719298
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,0.2,10,0.6825597739784349,0.07616725987277402,0.7430214424951267
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,0.3,10,0.6656737766659437,0.07024714288999924,0.7536842105263158
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,small_liquid_nn,0.5,10,0.6553245753159197,0.06805941018471436,0.7160428849902535
UCEC_molecular_subtype,extra_trees,tree_ensemble,0.0,10,0.8943962384880357,0.06771288717608454,0.9831117106092799
UCEC_molecular_subtype,extra_trees,tree_ensemble,0.05,10,0.8942780369164873,0.06564301971624147,0.9830475553192943
UCEC_molecular_subtype,extra_trees,tree_ensemble,0.1,10,0.8941972329796629,0.06297735324680194,0.9830860279707645
UCEC_molecular_subtype,extra_trees,tree_ensemble,0.2,10,0.8978099401160768,0.059073737431248545,0.9829298466599645
UCEC_molecular_subtype,extra_trees,tree_ensemble,0.3,10,0.8939004167908424,0.05615033739376822,0.9819438463970913
UCEC_molecular_subtype,extra_trees,tree_ensemble,0.5,10,0.869703870558953,0.05581825217458523,0.9791270330419289
UCEC_molecular_subtype,hist_gradient_boosting,boosting,0.0,10,0.8735420200532744,0.05092640840788911,0.9809997126147832
UCEC_molecular_subtype,hist_gradient_boosting,boosting,0.05,10,0.8713496336510019,0.05525846677489122,0.9815934940917028
UCEC_molecular_subtype,hist_gradient_boosting,boosting,0.1,10,0.871222530138646,0.04843487289562238,0.9800401743460455
UCEC_molecular_subtype,hist_gradient_boosting,boosting,0.2,10,0.8606125820420871,0.045585207765830735,0.9744222553621343
UCEC_molecular_subtype,hist_gradient_boosting,boosting,0.3,10,0.8487372761178742,0.03798420775038307,0.9760323008148062
UCEC_molecular_subtype,hist_gradient_boosting,boosting,0.5,10,0.7977703844182783,0.05946260839557014,0.9688983405062792
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.0,10,0.8885102220653461,0.038467827794380696,0.9794438254590908
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.05,10,0.8856227554575286,0.04027379293930623,0.9795321575914606
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.1,10,0.8818335793563064,0.05325606055462608,0.9798253719094184
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.2,10,0.8855610226655465,0.04440546492500043,0.9792505660332689
UCEC_molecular_subtype,liquid_cfc_modality_sequence,liquid_nn,0.3,10,0.8781683267156302,0.05082166343243337,0.9774766433182684
